"Country","Landscape..","Household.ID","Round","No_Toilet","Flush_Toilet","Pit_Latrine","Satisfied_Drinking_Water","Unsatisfied_Drinking_Water","Dispose_Garbage_Within_Compound","No_Measure_Safe_Drinking_Water"
"TZA","L19","MqCGGaKzuz2","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L19","zddQBRJke87","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"GHA","L02","Wth4nHzDVc8","1",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"TZA","L20","iRjEJTUQTW4","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L03","ZaEAz3d3Dr6","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L20","mZbBzdZE8P5","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L19","NnrfSQy1dmA","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L19","m2R4hghXWD6","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L19","yzbJgVuQFv2","1",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"TZA","L19","pcKda2i8vd5","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L19","B7g3YrTCTUB","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L19","PnQa2dKYkK6","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"GHA","L02","fkisAfkhBS2","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","oJSmP1FYvbB","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","tcEkwscfpH4","1",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","pEa2FhYEyQ2","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","tKy51hwqVM2","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","SAvMdkgq8K4","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"GHA","L02","sSK4YGpVFE3","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","NZwEq9cA5VB","1",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"TZA","L03","znifEwvA5C4","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L03","utcTs5LcPQ7","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L20","PrddN7Eh7v3","1",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"TZA","L20","Vuke4bM37hA","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"TZA","L03","JdnGCqPhcWB","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L03","Nt5ok1nPNM7","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L03","e7KZhetzbx","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
