"Country","Landscape..","Household.ID","bundles","cost","total_fuelwood_value","hh_annual_nonfuel_nr_value","Nonfuel_NR_decreasing"
"RWA","L02","am7bPMj2uA",156,600,93600,0,NA
"RWA","L02","AoyYjSvsgJA",76,600,45600,0,NA
"RWA","L02","Az5BDLdFCQB",84,600,50400,0,NA
"RWA","L02","DEfS8gcomk3",260,600,156000,0,NA
"RWA","L02","fHLhUbHi259",104,600,62400,0,NA
"RWA","L02","iGeYWScB9G8",256,600,153600,0,NA
"RWA","L02","mhGSC5qMs53",104,600,62400,0,NA
"RWA","L02","Mq9anduKdR9",24,600,14400,0,NA
"RWA","L02","MxhdeDaZTa9",192,600,115200,0,NA
"RWA","L02","sqHntKPZfk6",364,600,218400,0,NA
"RWA","L02","t8pSXYMtCP",156,600,93600,0,NA
"RWA","L02","tdcaU4K6FA3",180,600,108000,0,NA
"RWA","L02","U4AbXpgwpoA",220,600,132000,0,NA
"RWA","L02","Urb5aXE3gA2",312,600,187200,0,NA
"RWA","L02","VDYfVRu3Q44",468,600,280800,0,NA
"RWA","L02","voQqwNL5SR4",48,600,28800,0,NA
"RWA","L02","WuExMq5R6A9",364,600,218400,0,NA
"RWA","L02","xAHNqyKKrL4",72,600,43200,0,NA
"RWA","L02","XrphaE61Jh6",56,600,33600,0,NA
"RWA","L02","z7c7QHaTTe7",72,600,43200,0,NA
"RWA","L02","zxz5fHgxQr4",72,600,43200,0,NA
"RWA","L03","1aHi48GS6A5",208,600,124800,0,NA
"RWA","L03","1m6QKguDbp4",116,600,69600,0,NA
"RWA","L03","29hZgxCQpf4",12,600,7200,0,NA
"RWA","L03","2tfKupRSSR9",208,600,124800,0,NA
"RWA","L03","5s4t5icCN2",364,600,218400,0,NA
"RWA","L03","B8yvkFk2DJ5",312,600,187200,0,NA
"RWA","L03","bsDhjVrvZ8B",156,600,93600,0,NA
"RWA","L03","DRwp2xk3gPB",260,600,156000,0,NA
"RWA","L03","DybB4C7m1V6",156,600,93600,0,NA
