"Country","Landscape","Household_ID","Round","bundles","cost","total_fuelwood_value","hh_annual_nonfuel_nr_value","Nonfuel_NR_decreasing","Rate"
"RWA","L02","Urb5aXE3gA2","1",312,600,223.175965665236,0,NA,838.8
"RWA","L02","VDYfVRu3Q44","1",468,600,334.763948497854,0,NA,838.8
"RWA","L02","voQqwNL5SR4","1",48,600,34.3347639484979,0,NA,838.8
"RWA","L02","WuExMq5R6A9","1",364,600,260.371959942775,0,NA,838.8
"RWA","L02","xAHNqyKKrL4","1",72,600,51.5021459227468,0,NA,838.8
"RWA","L02","XrphaE61Jh6","1",56,600,40.0572246065808,0,NA,838.8
"RWA","L02","y5bMEWTbk12","1",NA,NA,NA,0,NA,838.8
"RWA","L02","z7c7QHaTTe7","1",72,600,51.5021459227468,0,NA,838.8
"RWA","L02","zxz5fHgxQr4","1",72,600,51.5021459227468,0,NA,838.8
"RWA","L03","1aHi48GS6A5","1",208,600,148.783977110157,0,NA,838.8
"RWA","L03","1m6QKguDbp4","1",116,600,82.9756795422032,0,NA,838.8
"RWA","L03","29hZgxCQpf4","1",12,600,8.58369098712446,0,NA,838.8
"RWA","L03","2tfKupRSSR9","1",208,600,148.783977110157,0,NA,838.8
"RWA","L03","5s4t5icCN2","1",364,600,260.371959942775,0,NA,838.8
"RWA","L03","B8yvkFk2DJ5","1",312,600,223.175965665236,0,NA,838.8
"RWA","L03","bsDhjVrvZ8B","1",156,600,111.587982832618,0,NA,838.8
"RWA","L03","DRwp2xk3gPB","1",260,600,185.979971387697,0,NA,838.8
"RWA","L03","DybB4C7m1V6","1",156,600,111.587982832618,0,NA,838.8
"RWA","L03","eSXVTUZDKD3","1",624,600,446.351931330472,0,NA,838.8
"RWA","L03","EXzXQD4FSm3","1",260,600,185.979971387697,0,NA,838.8
"RWA","L03","fL32p1TYNb8","1",64,600,45.7796852646638,0,NA,838.8
"RWA","L03","J2FX8wXV8S9","1",416,600,297.567954220315,0,NA,838.8
"RWA","L03","kwtgXoW7Ei8","1",416,600,297.567954220315,0,NA,838.8
"RWA","L03","oSahYBywkW2","1",240,600,171.673819742489,0,NA,838.8
"RWA","L03","rP7DxqhNrW3","1",312,600,223.175965665236,0,NA,838.8
"RWA","L03","rQmTKtJ2h92","1",164,600,117.310443490701,0,NA,838.8
"RWA","L03","rYhbEL7oXj9","1",556,600,397.711015736767,0,NA,838.8
"RWA","L03","s754vJkGDg2","1",156,600,111.587982832618,0,NA,838.8
"RWA","L03","SS7UVs5jxa4","1",192,600,137.339055793991,77.4916547448736,1,838.8
"RWA","L03","tmtcp1ke5eB","1",216,600,154.50643776824,0,NA,838.8
"RWA","L03","Tt5k1X1aefA","1",208,600,148.783977110157,0,NA,838.8
"RWA","L03","TY6c2BvPeq8","1",312,600,223.175965665236,0,NA,838.8
"RWA","L03","UVBzkFMeZz9","1",260,600,185.979971387697,0,NA,838.8
"RWA","L03","V6SdSqrYbJ7","1",104,600,74.3919885550787,0,NA,838.8
"RWA","L03","Vh74sMy7UM8","1",308,600,220.314735336195,0,NA,838.8
"RWA","L03","vvZZdLufJK3","1",364,600,260.371959942775,0,NA,838.8
"RWA","L03","x7bE3Pdy8h5","1",572,600,409.155937052933,0,NA,838.8
"RWA","L03","ydvLLQUM1wA","1",116,600,82.9756795422032,0,NA,838.8
"RWA","L03","YfvDPbb5H85","1",416,600,297.567954220315,0,NA,838.8
"RWA","L04","5AjH6QaGU24","1",64,600,45.7796852646638,0,NA,838.8
