"Country","Landscape","Household_ID","Round","Total_Income","AgIncome","NonAgIncome","AgInvestments"
"UGA","L04","GEpVmB1chZ","1",104285.72,0,104285.72,15000
"GHA","L05","gggGZ6AgZ6A","1",4290,4290,0,0
"UGA","L07","ggHPuVorAC2","1",105000,45000,60000,0
"RWA","L04","GJymWVjaQVB","1",359000,359000,0,19400
"GHA","L02","GLaBCfmRHT9","1",880,880,0,210
"GHA","L02","go6Ch5Km3k7","1",4850,4850,0,28
"TZA","L03","Goj6tydZtp2","1",0,0,0,275000
"UGA","L04","GPDYh6MvUT3","1",8078429,257000,7821429,14000
"GHA","L03","GPMVX5tyrx4","1",1800,1800,0,168
"TZA","L19","gpPmZSQZXY5","1",7870629,49200,7821429,0
"UGA","L06","Gr3yWAqnod7","1",2407840,2167840,240000,16000
"GHA","L04","gRQgL3UsPb6","1",7115,7115,0,246
"RWA","L04","gtdvY5R76A5","1",389857.16,17000,372857.16,1000
"TZA","L11","gUGmee9jeJA","1",275000,275000,0,79000
"TZA","L10","gULVGjZq1b6","1",280000,280000,0,0
"UGA","L02","GuUwLgiijo2","1",6e+05,6e+05,0,0
"TZA","L19","GV2SBh2drm7","1",2182000,586000,1596000,13000
"UGA","L01","gVnZfUnJ4V","1",740500,740500,0,70500
"RWA","L01","gvW2UAieds2","1",219750,219750,0,5730
"RWA","L01","gvW2UAieds2","2",22400,22400,0,400
"UGA","L02","GwMi53segV4","1",1347000,1347000,0,18000
"TZA","L18","GZButysJgS4","1",0,0,0,698000
"UGA","L06","h2NJwtqVTd2","1",1912500,1912500,0,94000
"RWA","L06","H4YdiXt5cz3","1",71100,71100,0,0
"RWA","L06","H4YdiXt5cz3","2",150342.864,25200,125142.864,400
"UGA","L03","h5hVCQ5GHc2","1",1537000,1537000,0,50000
"GHA","L06","h7GgmuPVUH3","1",972,0,972,20
"GHA","L02","h9yzMoqrEr7","1",1250,1250,0,63
"RWA","L06","HbRbhAKMLv3","1",342000,330000,12000,0
"RWA","L06","HbRbhAKMLv3","2",99000,99000,0,0
"TZA","L03","hfEUg9n1AW4","1",1096857.2,54000,1042857.2,41000
"UGA","L06","hFv6mHJEwd5","1",2025750.01,1843250,182500.01,60000
"TZA","L18","HGnHsWKAkp3","1",1590000,1590000,0,15000
"UGA","L02","hiJdT15von9","1",2942000,22000,2920000,36400
"GHA","L04","HJ9K9FonFCA","1",3392,3392,0,468
"GHA","L02","HK4BRArXjD6","1",5738,5738,0,744
"UGA","L03","HLCLDYcEQF2","1",320900,320900,0,0
"UGA","L04","hnZo2CxSp92","1",1961000,761000,1200000,131000
"TZA","L20","HPHgA99tPJA","1",12490000,1540000,10950000,60000
"GHA","L05","HqDbz9qjXL","1",25876.858,10234,15642.858,150
"GHA","L06","hrKn2nuXSs9","1",2607.143,0,2607.143,1052
"TZA","L18","HWkzcSXQNG2","1",26000,26000,0,18000
"TZA","L03","hwqvpwm7Wz7","1",346000,346000,0,120000
"UGA","L02","HWUQqfGSi37","1",5160000,360000,4800000,66750
"RWA","L04","hXCHXcG2W46","1",419528.58,263100,156428.58,17700
"GHA","L01","hy4613HYBr3","1",300,300,0,301
"GHA","L03","HYK4pqongQ7","1",4260,4260,0,467.5
"UGA","L01","hyWdWQ552X7","1",240000,0,240000,0
"TZA","L22","i2ZRSY65p48","1",630000,630000,0,0
"UGA","L06","i5k7QWkLJw8","1",1155000,1155000,0,195000
"TZA","L11","i6gRP4KTv4B","1",18000,18000,0,7000
"RWA","L02","iGeYWScB9G8","1",1106800,376800,730000,107400
"GHA","L03","ignYVcEWdh6","1",3730,3730,0,300
"UGA","L04","iLvTEBAQTN6","1",4868000,4868000,0,138000
"RWA","L04","io6UuTdM1Q3","1",401000,185000,216000,8700
"GHA","L06","iR5ETCSgpV5","1",1362.8572,320,1042.8572,40
"TZA","L20","iRjEJTUQTW4","1",22219000,1049000,21170000,35000
"RWA","L04","iRtxUHTRGi2","1",696000,0,696000,35500
"RWA","L04","iV8EbG17vX2","1",301000,13000,288000,3500
"TZA","L03","j18hwWBcwh5","1",0,0,0,0
"RWA","L03","J2FX8wXV8S9","1",260714.3,0,260714.3,2500
"RWA","L07","j3meptUjcsA","1",367500,2500,365000,0
"UGA","L07","J4NQk5mWMXA","1",0,0,0,12500
"TZA","L10","j5dyUZUjo25","1",932000,92000,840000,147500
"TZA","L11","JADsmRVzNUA","1",621428.6,1e+05,521428.6,6600
"TZA","L20","JbsDyyJEsp2","1",1018000,1018000,0,84000
"GHA","L06","jCvYgt72fP4","1",7299.286,2085,5214.286,0
"GHA","L06","jCvYgt72fP4","1",7299.286,2085,5214.286,0
"TZA","L03","JdnGCqPhcWB","1",120000,120000,0,10000
"RWA","L04","jDuNCdZs246","1",437500,77500,360000,27650
"RWA","L04","jHTSofjuPJ7","1",8000,8000,0,14500
"UGA","L06","JiVbXhqxqD2","1",566000,566000,0,130000
"TZA","L19","jiVQaMk2ZR","1",2610000,2610000,0,6000
"RWA","L04","JM2DWViH8L8","1",291600,3600,288000,7350
"UGA","L06","Jm8YLfzpoy5","1",1641400,441400,1200000,10000
"GHA","L06","joFqVCsb215","1",420,420,0,30
