"Country","Landscape","Household_ID","Round","size","literate","years","age"
"RWA","L01","TWGYiMEN9K3","2",5,0.4,2.2,15.2
"RWA","L01","VM1oxfq9wgB","1",9,0.444444444444444,2.88888888888889,15.7777777777778
"RWA","L01","VM1oxfq9wgB","2",9,0.555555555555556,2.77777777777778,16.4444444444444
"RWA","L01","wPk7iGeM1n2","1",4,0.75,4,30
"RWA","L01","wPk7iGeM1n2","2",7,0.428571428571429,3,20.5714285714286
"RWA","L01","wy7axJB9t4A","1",2,0.5,3,48
"RWA","L01","wy7axJB9t4A","2",2,0.5,2.5,48
"RWA","L01","XXFzjtd2A8","1",7,0.428571428571429,1.85714285714286,24.5714285714286
"RWA","L01","XXFzjtd2A8","2",5,0.2,1.8,23.8
"RWA","L01","yjXM15j8fo9","1",9,0.555555555555556,3.11111111111111,24.7777777777778
"RWA","L01","yjXM15j8fo9","2",10,0.7,2.2,23.3
"RWA","L02","4aupp5Gqjv6","1",5,0.6,4,16.6
"RWA","L02","6zdLptApzZ2","1",6,0.5,2.83333333333333,40.1666666666667
"RWA","L02","7HuaMEgyTz4","1",6,0.333333333333333,2,20.3333333333333
"RWA","L02","am7bPMj2uA","1",6,0.5,2.16666666666667,27.8333333333333
"RWA","L02","AoyYjSvsgJA","1",3,0,1,39
"RWA","L02","Az5BDLdFCQB","1",4,0.25,1.5,19.75
"RWA","L02","d77n4FzyP99","1",4,0.5,2.75,18
"RWA","L02","DEfS8gcomk3","1",6,0.5,1.83333333333333,16
"RWA","L02","fHLhUbHi259","1",4,0.75,7.5,30.25
"RWA","L02","FtidgPbhow5","1",4,0.5,6,23.75
"RWA","L02","iGeYWScB9G8","1",4,0.75,4.5,32
"RWA","L02","LZ29vrnear2","1",6,0.5,3.83333333333333,22.5
"RWA","L02","mhGSC5qMs53","1",2,1,7,36.5
"RWA","L02","Mq9anduKdR9","1",4,0.5,3.25,21.5
"RWA","L02","MxhdeDaZTa9","1",6,0.833333333333333,4.33333333333333,25.3333333333333
"RWA","L02","nkB43h7a3u6","1",10,0.4,2.4,19.4
"RWA","L02","sqHntKPZfk6","1",6,0.666666666666667,5,21.1666666666667
"RWA","L02","t8pSXYMtCP","1",4,0.25,2.25,18.25
"RWA","L02","tdcaU4K6FA3","1",7,0.571428571428571,3,15
"RWA","L02","TSZ8yp6UEy4","1",3,0.666666666666667,5,32
"RWA","L02","U4AbXpgwpoA","1",6,0.833333333333333,6.16666666666667,18.5
"RWA","L02","Urb5aXE3gA2","1",3,0.333333333333333,2,31.6666666666667
"RWA","L02","VDYfVRu3Q44","1",3,0.333333333333333,1.66666666666667,36
"RWA","L02","voQqwNL5SR4","1",7,0.857142857142857,5.85714285714286,21
"RWA","L02","WuExMq5R6A9","1",5,0.4,1.6,25.4
