"survey_uuid","Landscape..","Eplot..","latitude","longitude","Country","biodiversity","eplot_code"
"15be1c24-6b8d-40e3-8dbf-249fe076d753","000","048",-1.29184,30.38523,"RWA",0,"RWA-000-048"
"15d334b4-fdbb-4714-a5e0-b870e499c2a4","000","138",-6.33537,36.4856,"TZA",0.116448726334071,"TZA-000-138"
"15fe5537-80ab-428d-8653-1f6ea90657ef","000","305",1.30328,33.86104,"UGA",0.943857314425335,"UGA-000-305"
"161d0c67-76ff-4c02-bc49-d73f3df86f7b","000","077",5.51583,-0.76994,"GHA",0.482992228954192,"GHA-000-077"
"1660ac9f-7200-4194-b491-52dd37d9616a","000","299",9.43532,-0.36228,"GHA",0.115062431972951,"GHA-000-299"
"16689846-615a-4568-8b77-3b8706fd7eb2","000","143",-7.59451,35.07848,"TZA",2.13010964522885,"TZA-000-143"
"16d68714-9bf5-4ff7-9b9d-92c7bada8cad","000","386",7.1538,-1.65354,"GHA",1.34819591857555,"GHA-000-386"
"16e68ea1-938b-429d-ae71-764c6ff0b7bb","000","114",6.60973,-2.10182,"GHA",0.132691420839872,"GHA-000-114"
"16eb10da-27cb-4ed1-8d2c-388c0625368b","000","385",5.07748,-2.72815,"GHA",1.55990281212253,"GHA-000-385"
"17454d14-13a8-405b-ba95-a183f0caab65","000","338",2.24042,33.34397,"UGA",2.63093090772097,"UGA-000-338"
"175be02f-6366-45d1-a1e5-913e38ab7540","L01","011",3.56417,31.15424,"UGA",0.80722013365812,"UGA-L01-011"
"176ae685-30bf-42c7-a213-f2864f344855","000","306",6.08648,0.85891,"GHA",0,"GHA-000-306"
"17866ce7-45a6-45e5-aa78-531aa943edb0","000","348",-7.05502,35.43904,"TZA",1.82546034625296,"TZA-000-348"
"179fd01f-72fb-42aa-8202-b145df7d6e8d","L01","005",-2.5333,29.47486,"RWA",0,"RWA-L01-005"
"17a7363f-abe5-43d0-b6a2-e18dc66c3768","000","308",1.82664,33.15628,"UGA",0.563455363378086,"UGA-000-308"
"17af2d82-35a8-407a-ae45-8062fa731c4b","000","198",-7.53943,36.49873,"TZA",1.49582733075213,"TZA-000-198"
"17e4aef4-3085-4acd-ae55-aae756ecfd6a","000","016",-1.84867,29.46517,"RWA",0.131601603322136,"RWA-000-016"
"1811cb7e-a016-47c5-ac71-5deff59a52b6","000","227",-7.05817,37.24189,"TZA",2.70125357261488,"TZA-000-227"
"1829d8f7-69de-4a93-9edb-2d758264f9d3","L02","004",9.93834,-0.86881,"GHA",2.19722457733622,"GHA-L02-004"
"186f9aa3-92d3-4dfc-8595-945d70297b46","000","114",-0.26671,31.80699,"UGA",1.47322040110178,"UGA-000-114"
"1889551c-41e5-4c61-af7b-883a783adcbe","000","264",-9.50603,34.59043,"TZA",0.925599863806715,"TZA-000-264"
"18932927-51ae-46d1-a2ab-8fbe1e40b65b","L18","007",-7.56419,36.47226,"TZA",1.67500797493827,"TZA-L18-007"
